Feature,Importance
Yield_3yr_Avg,0.3954224
Yield_Lag1,0.107283756
heat_moisture_stress,0.03701977
Yield_Lag2,0.030551648
weeks_extreme_heat,0.02478299
weeks_heat_stress,0.022966063
precip_anomaly_mm,0.018062126
temp_mean_reproductive,0.01751316
State_Encoded,0.017055783
temp_std_season,0.015649354
weeks_high_humidity,0.015281408
gdd_anomaly,0.01520367
precip_reproductive,0.014910744
temp_anomaly,0.014103443
rh_reproductive,0.0140365735
precip_anomaly_pct,0.014008073
precip_vegetative,0.013392219
precip_early_vs_late,0.013250247
temp_early_vs_late,0.012737374
precip_mean_weekly,0.012703011
temp_max_season,0.012699441
precip_total,0.010048818
rh_mean,0.009915264
gdd_reproductive,0.009641765
temp_mean_season,0.009483505
Harvest_Efficiency,0.009471025
water_stress_reproductive,0.0091811335
temp_min_season,0.008899989
gdd_grainfill,0.008822525
gdd_vegetative,0.00867273
temp_max_reproductive,0.008344407
precip_std,0.008041192
temp_range_avg,0.007202722
precip_grainfill,0.006894939
weeks_dry,0.0064934837
weeks_very_dry,0.0061218026
precip_max_weekly,0.0057295226
Abandonment_Rate,0.005365131
Soil_pH,0.004533185
gdd_total,0.0045220703
weeks_wet,0.004459611
Soil_Organic_Matter_Pct,0.0034781657
Soil_Clay_Pct,0.0031883533
Soil_AWC,0.0028553673
